index,state,geoid,lat,lon,area_m2,jitter_radius
0,New Mexico,35,34.381980580403024,-106.11040936851145,314925051098,158306.4726814959
1,South Dakota,46,44.41721827254223,-100.22873693814844,199729234342,126071.19997344524
2,California,06,37.11640452760292,-119.5423638259861,423965066633,183679.2531192986
3,Kentucky,21,37.51965918505172,-85.29601473941429,104650892003,91257.07304437709
4,Alabama,01,32.76599808291515,-86.82908252924891,135767375654,103942.40940527679
5,Georgia,13,32.62584690821543,-83.4414921012423,153904984559,110667.83421357507
6,Arkansas,05,34.882667669459224,-92.44019964180407,137781233564,104710.46840457157
7,Pennsylvania,42,40.86416168524738,-77.79940197138839,119279090119,97426.52821470778
8,Missouri,29,38.337797458234625,-92.46778087837806,180539779440,119862.00048930549
9,Colorado,08,38.97069968261728,-105.54776223796935,269604514936,146473.36145517576
10,Utah,49,39.28418877111021,-111.67424158209954,219885046251,132279.6129848373
11,Oklahoma,40,35.568136266505164,-97.50115664717073,181037879813,120027.23328294167
12,Tennessee,47,35.83913582538165,-86.34568653372945,109115904065,93183.5165195159
13,Wyoming,56,42.96748307079688,-107.55133435232092,253326215997,141982.60367151978
14,Indiana,18,39.88328591829914,-86.27847341125295,94330611819,86640.58851334233
15,Massachusetts,25,42.2513962334711,-71.79910938921182,27335050606,46639.62062244937
16,Idaho,16,44.314549242700586,-114.63596134065122,216441501189,131239.73255927433
17,Alaska,02,63.41858425775767,-151.9673746925127,1724219498393,370417.3701007245
18,Nevada,32,39.29899326195936,-116.64365069303918,286376926576,150960.76220666608
19,Illinois,17,40.025215527675876,-89.19758944823833,149995055412,109253.04231041475
20,Vermont,50,44.06509578374043,-72.6643105180407,24903237527,44516.70108742132
21,Minnesota,27,46.24851247353795,-94.30721478882766,225182027264,133863.4243072385
22,North Dakota,38,47.42437962296329,-100.46761586897058,183109090616,120711.881968177
23,Iowa,19,42.05897682668527,-93.4979911379461,145745688335,107694.35159943636
24,New Hampshire,33,43.6751292317824,-71.5789997388157,24216083098,43898.230758031685
25,Delaware,10,38.98382922057792,-75.49989774215851,6445911247,22648.38446436846
26,District of Columbia,11,38.90469813339958,-77.0162856741984,177025966,3753.3023822040905
27,Guam,66,13.443744827676356,144.7742260966497,1477893299,10844.676664111255
28,American Samoa,60,-14.219000635872284,-170.3696791856779,1505002818,10943.688542989792
29,Connecticut,09,41.61914065525119,-72.72595400939208,14358114690,33802.10737804565
30,Montana,30,46.99448195025912,-109.63912830431322,380840363460,174087.08506602814
31,Arizona,04,34.25117381937764,-111.66239920767948,295220110293,153273.8396681989
32,Nebraska,31,41.511244282284125,-99.80295503568725,200328910106,126260.31895964355
33,Washington,53,47.358453811312714,-120.44838795478681,184667899577,121224.60362500114
34,Puerto Rico,72,18.22247597868951,-66.46864395378446,13791278592,33128.161430075124
35,Texas,48,31.409419619262525,-99.33691161621802,695668322364,235286.05170799728
36,Ohio,39,40.276246760137795,-82.79216119848418,116098356139,96118.74755833313
37,Wisconsin,55,44.6069555413997,-90.0033437635299,169635711816,116185.97604794789
38,Oregon,41,43.90458057324163,-120.55837605092648,254799182736,142394.7847152583
39,Mississippi,28,32.72478226708621,-89.66643385307191,125448419248,99914.30334637695
40,North Carolina,37,35.53499097603011,-79.37320174499541,139389420832,105319.78764726316
41,Virginia,51,37.505487905877054,-78.81821759878842,110786250876,93894.03456432742
42,West Virginia,54,38.63336714147155,-80.61861824335566,62755432724,70667.6634815935
43,Louisiana,22,31.042198226873513,-91.98031015182215,135651640265,103898.09691880389
44,New York,36,42.91810360056803,-75.50609103906363,141305911322,106041.34635839296
45,Michigan,26,44.286638270147485,-85.40960021525247,250486134130,141184.46519141016
46,Kansas,20,38.46950220075322,-98.37940969001833,213099485323,130222.57189038744
47,Florida,12,28.59141501362833,-82.47699139582582,184934292433,121312.00844911036
48,United States Virgin Islands,78,17.963004941415424,-64.80102721847939,1898258096,12290.58906730287
49,New Jersey,34,40.1765619489078,-74.66266509333752,22582604306,42391.82175366034
50,Maryland,24,39.031394333117774,-76.76841127678685,32131067058,50565.88844813202
51,South Carolina,45,33.899339501594206,-80.89341118805822,82940444117,81241.55852597137
52,Maine,23,45.34732042031157,-69.23262353551115,91633462113,85392.96940588219
53,Hawaii,15,20.24436767200649,-156.3509219007867,28411799270,47549.33383316323
54,Commonwealth of the Northern Mariana Islands,69,15.882754533538494,145.60565525539852,5116544978,20178.24849684324
55,Rhode Island,44,41.67539047062395,-71.55384855427442,4001450338,17844.475347140855
